S(t),I(t),R(t),mortes,tempo(t)
0.0000,83.2239,366.7758,7.3355,153.5
0.0000,82.7511,367.2487,7.3450,154.0
0.0000,82.2809,367.7189,7.3544,154.5
0.0000,81.8134,368.1864,7.3637,155.0
0.0000,81.3485,368.6512,7.3730,155.5
0.0000,80.8863,369.1135,7.3823,156.0
0.0000,80.4267,369.5731,7.3915,156.5
0.0000,79.9698,370.0300,7.4006,157.0
0.0000,79.5154,370.4844,7.4097,157.5
0.0000,79.0636,370.9362,7.4187,158.0
0.0000,78.6144,371.3854,7.4277,158.5
0.0000,78.1677,371.8321,7.4366,159.0
0.0000,77.7236,372.2762,7.4455,159.5
0.0000,77.2820,372.7178,7.4544,160.0
0.0000,76.8429,373.1569,7.4631,160.5
0.0000,76.4063,373.5935,7.4719,161.0
0.0000,75.9721,374.0276,7.4806,161.5
0.0000,75.5405,374.4593,7.4892,162.0
0.0000,75.1113,374.8885,7.4978,162.5
0.0000,74.6845,375.3153,7.5063,163.0
0.0000,74.2601,375.7396,7.5148,163.5
0.0000,73.8382,376.1616,7.5232,164.0
0.0000,73.4187,376.5811,7.5316,164.5
0.0000,73.0015,376.9982,7.5400,165.0
0.0000,72.5867,377.4130,7.5483,165.5
0.0000,72.1743,377.8254,7.5565,166.0
0.0000,71.7642,378.2355,7.5647,166.5
0.0000,71.3565,378.6433,7.5729,167.0
0.0000,70.9510,379.0487,7.5810,167.5
0.0000,70.5479,379.4518,7.5890,168.0
0.0000,70.1471,379.8527,7.5971,168.5
0.0000,69.7485,380.2513,7.6050,169.0
0.0000,69.3522,380.6476,7.6130,169.5
0.0000,68.9582,381.0416,7.6208,170.0
0.0000,68.5664,381.4334,7.6287,170.5
0.0000,68.1768,381.8230,7.6365,171.0
0.0000,67.7894,382.2104,7.6442,171.5
0.0000,67.4043,382.5955,7.6519,172.0
0.0000,67.0213,382.9785,7.6596,172.5
0.0000,66.6405,383.3593,7.6672,173.0
0.0000,66.2618,383.7379,7.6748,173.5
0.0000,65.8853,384.1144,7.6823,174.0
0.0000,65.5110,384.4888,7.6898,174.5
0.0000,65.1388,384.8610,7.6972,175.0
0.0000,64.7687,385.2311,7.7046,175.5
0.0000,64.4007,385.5991,7.7120,176.0
0.0000,64.0347,385.9650,7.7193,176.5
0.0000,63.6709,386.3289,7.7266,177.0
0.0000,63.3091,386.6906,7.7338,177.5
0.0000,62.9494,387.0503,7.7410,178.0
0.0000,62.5918,387.4080,7.7482,178.5
0.0000,62.2361,387.7636,7.7553,179.0
0.0000,61.8825,388.1172,7.7623,179.5
0.0000,61.5309,388.4688,7.7694,180.0
0.0000,61.1813,388.8184,7.7764,180.5
0.0000,60.8337,389.1660,7.7833,181.0
0.0000,60.4880,389.5117,7.7902,181.5
0.0000,60.1443,389.8554,7.7971,182.0
0.0000,59.8026,390.1971,7.8039,182.5
0.0000,59.4628,390.5369,7.8107,183.0
0.0000,59.1250,390.8748,7.8175,183.5
0.0000,58.7890,391.2107,7.8242,184.0
0.0000,58.4550,391.5447,7.8309,184.5
0.0000,58.1229,391.8768,7.8375,185.0
