S(t),I(t),R(t),mortes(t),tempo
53.5692,13.7213,2.7095,0.0542,37.6
53.4957,13.7792,2.7251,0.0545,37.7
53.4220,13.8372,2.7407,0.0548,37.8
53.3481,13.8954,2.7565,0.0551,37.9
53.2740,13.9538,2.7723,0.0554,38.0
53.1996,14.0123,2.7881,0.0558,38.1
53.1251,14.0709,2.8040,0.0561,38.2
53.0503,14.1296,2.8200,0.0564,38.3
52.9754,14.1885,2.8361,0.0567,38.4
52.9002,14.2476,2.8522,0.0570,38.5
52.8249,14.3068,2.8684,0.0574,38.6
52.7493,14.3661,2.8847,0.0577,38.7
52.6735,14.4255,2.9010,0.0580,38.8
52.5975,14.4851,2.9174,0.0583,38.9
52.5213,14.5449,2.9338,0.0587,39.0
52.4449,14.6047,2.9504,0.0590,39.1
52.3683,14.6647,2.9670,0.0593,39.2
52.2915,14.7248,2.9836,0.0597,39.3
52.2145,14.7851,3.0004,0.0600,39.4
52.1373,14.8455,3.0172,0.0603,39.5
52.0599,14.9060,3.0340,0.0607,39.6
51.9823,14.9667,3.0510,0.0610,39.7
51.9045,15.0275,3.0680,0.0614,39.8
51.8265,15.0884,3.0851,0.0617,39.9
51.7483,15.1495,3.1022,0.0620,40.0
51.6699,15.2107,3.1194,0.0624,40.1
51.5914,15.2720,3.1367,0.0627,40.2
51.5126,15.3334,3.1541,0.0631,40.3
51.4336,15.3950,3.1715,0.0634,40.4
51.3544,15.4566,3.1890,0.0638,40.5
51.2750,15.5185,3.2065,0.0641,40.6
51.1954,15.5804,3.2242,0.0645,40.7
51.1157,15.6425,3.2419,0.0648,40.8
51.0357,15.7046,3.2597,0.0652,40.9
50.9556,15.7669,3.2775,0.0655,41.0
50.8752,15.8294,3.2954,0.0659,41.1
50.7947,15.8919,3.3134,0.0663,41.2
50.7140,15.9546,3.3315,0.0666,41.3
50.6331,16.0174,3.3496,0.0670,41.4
50.5520,16.0803,3.3678,0.0674,41.5
50.4707,16.1433,3.3861,0.0677,41.6
50.3892,16.2064,3.4044,0.0681,41.7
